Neighborhood,Id,Estimate; Total,Margin of Error; Total
Allegheny Center,1,1156,77
Allegheny West,2,233,60
Allentown,3,1259.0,141.49558297
Arlington,4,812.0,106.569226327
Arlington Heights,5,170,60
Banksville,6,2152.0,243.698584321
Bedford Dwellings,7,793,40
Beechview,8,3956.0,270.333127825
Beltzhoover,9,1062.0,162.683742273
Bloomfield,10,5119.0,193.437328352
Bluff,11,419.0,67.4462749157
Bon Air,12,387,70
Brighton Heights,13,3657.0,182.2882333
Brookline,14,6394.0,345.444641006
California-Kirkbride,15,388,27
Carrick,16,5034.0,291.866407796
Central Business District,17,2287.0,232.662846197
Central Lawrenceville,18,2697.0,169.876425675
Central Northside,19,1876.0,98.7977732543
Central Oakland,20,2372.0,140.132080553
Chartiers City,21,271,60
Chateau,22,3,3
Crafton Heights,23,1848.0,127.019683514
Crawford-Roberts,24,1296.0,141.428427128
Duquesne Heights,25,1420.0,117.45637488
East Allegheny,26,1633.0,146.386474785
East Carnegie,27,270,38
East Hills,28,1525.0,168.564527704
East Liberty,29,3517.0,266.281805612
Elliott,30,1160.0,146.962580271
Esplen,31,154,49
Fairywood,32,485,85
Fineview,33,790.0,100.419121685
Friendship,34,1197.0,104.062481231
Garfield,35,1937.0,122.069652248
Glen Hazel,36,272,86
Greenfield,37,3893.0,268.71918428
Hays,38,223,44
Hazelwood,39,2293.0,211.882042656
Highland Park,40,3287.0,242.588128317
Homewood North,41,1715.0,150.153255043
Homewood South,42,1431.0,134.041038492
Homewood West,43,509.0,84.8999411072
Knoxville,44,1883.0,242.260190704
Larimer,45,783.0,92.7739187488
Lincoln Place,46,1586.0,138.946032689
Lincoln-Lemington-Belmar,47,2228.0,153.212271049
Lower Lawrenceville,48,1328.0,128.701204346
Manchester,49,1328.0,126.574088976
Marshall-Shadeland,50,2259.0,214.911609738
Middle Hill,51,1134.0,127.612695293
Morningside,52,1689.0,143.767172888
Mount Oliver Borough,53,1783.0,200.144947476
Mount Washington,54,5361.0,243.823706804
Mt. Oliver,55,274,58
New Homestead,56,413,27
North Oakland,57,3464.0,240.894167633
North Shore,58,188.0,52.9528091795
Northview Heights,59,557,74
Oakwood,60,569,41
Overbrook,61,1722.0,105.778069561
Perry North,62,1953.0,130.656036982
Perry South,63,2168.0,192.494155756
Point Breeze,64,2497.0,136.458784986
Point Breeze North,65,1143.0,156.083311087
Polish Hill,66,845.0,77.1038261048
Regent Square,67,496,17
Ridgemont,68,226,58
Shadyside,69,8463.0,392.011479424
Sheraden,70,2504.0,193.088062811
South Oakland,71,1455.0,148.932870784
South Shore,72,22,16
South Side Flats,73,4388.0,301.383476654
South Side Slopes,74,2506.0,189.889441517
Spring Garden,75,557.0,58.6941223633
Spring Hill-City View,76,1295.0,141.777995472
Squirrel Hill North,77,3754.0,199.449241662
Squirrel Hill South,78,7621.0,330.685651337
St. Clair,79,114,44
Stanton Heights,80,2239.0,122.449989792
Strip District,81,562,33
Summer Hill,82,517,16
Swisshelm Park,83,648,29
Terrace Village,84,1093.0,109.69958979
Troy Hill,85,1576.0,158.448729878
Upper Hill,86,1170.0,163.795604337
Upper Lawrenceville,87,1431.0,137.320792307
West End,88,168,71
West Oakland,89,728.0,73.1095069057
Westwood,90,1546.0,111.803398875
Windgap,91,706.0,101.833196945
