Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Estimate; Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Estimate; Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Estimate; Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Estimate; Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Estimate; Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Estimate; Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Estimate; Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Estimate; Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force
Allegheny Center,1,26,25,4,7,4,7,0,10,0,10,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,22,24,22,24,0,10,18,25,4,6,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Allegheny West,2,24,32,18,24,18,24,9,12,0,10,9,12,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,8,0,10,0,10,0,10,0,10,6,8,6,8,6,8,0,10,0,10,0,10,0,10,0,10,0,10
Allentown,3,166.0,93.1879820577,108.0,83.7854402627,108.0,83.7854402627,0.0,17.3205080757,0.0,17.3205080757,108.0,83.7854402627,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,58.0,56.8594759033,58.0,56.8594759033,9.0,21.3541565041,0.0,17.3205080757,49.0,55.0,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Arlington,4,93.0,44.2379927212,31.0,27.0,31.0,27.0,10.0,19.8997487421,0.0,17.3205080757,21.0,25.3179778023,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,62.0,40.5215991787,41.0,30.7408522979,17.0,27.8567765544,7.0,17.9164728671,17.0,18.547236991,21.0,29.5972971739,5.0,16.2480768093,5.0,16.2480768093,0.0,17.3205080757,0.0,17.3205080757,16.0,27.8567765544,16.0,27.8567765544,0.0,17.3205080757,0.0,17.3205080757
Arlington Heights,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,63.0,48.5901224531,20.0,27.892651362,10.0,24.269322199,10.0,24.269322199,0.0,20.0,0.0,20.0,10.0,24.269322199,10.0,24.269322199,10.0,24.269322199,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,43.0,44.3283205186,43.0,44.3283205186,13.0,28.0,0.0,20.0,30.0,38.7427412556,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bedford Dwellings,7,51,33,10,17,0,10,0,10,0,10,0,10,10,17,0,10,0,10,0,10,0,10,10,17,0,10,0,10,10,17,41,28,41,28,0,10,12,19,29,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Beechview,8,171.0,75.0732975165,107.0,61.400325732,101.0,61.400325732,29.0,38.729833462,20.0,42.4264068711,52.0,48.6826457785,6.0,31.6227766016,6.0,31.6227766016,6.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,64.0,48.8773976395,39.0,42.7083130081,15.0,33.7638860323,10.0,34.481879299,14.0,37.8021163428,25.0,39.5600808897,12.0,34.9857113692,0.0,31.6227766016,12.0,34.9857113692,0.0,31.6227766016,13.0,36.6196668472,0.0,31.6227766016,0.0,31.6227766016,13.0,36.6196668472
Beltzhoover,9,121.0,67.2904153651,60.0,42.7200187266,50.0,40.8533964317,0.0,20.0,24.0,37.2692903071,26.0,35.5105618091,10.0,23.5796522451,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,10.0,23.5796522451,10.0,23.5796522451,0.0,20.0,0.0,20.0,61.0,58.4893152636,61.0,58.4893152636,40.0,49.2036584006,0.0,20.0,21.0,37.2692903071,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bloomfield,10,268.0,90.0388804905,108.0,56.9122131006,103.0,53.7308105281,37.0,32.939338184,17.0,41.0365690573,49.0,43.9886348958,5.0,31.3209195267,5.0,31.3209195267,5.0,31.3209195267,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,160.0,79.2148975888,141.0,77.7174369109,33.0,55.7584074378,0.0,31.6227766016,108.0,61.9677335393,19.0,32.2800247831,19.0,32.2800247831,6.0,31.0483493924,5.0,31.0483493924,8.0,31.9530906173,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016
